QTD_CHOC;VAR_1;VAR_2;PESO_BOMBOM
260,71;2,72;C;9,86
254,89;2,50;C;11,18
266,78;1,53;C;7,58
233,97;1,98;C;7,85
272,55;2,36;C;9,86
219,91;1,96;C;9,78
239,03;2,50;C;9,81
241,20;2,79;C;9,62
232,18;2,85;C;9,94
252,67;1,42;C;12,62
337,09;2,89;C;10,50
228,13;2,97;C;9,79
291,19;2,98;C;10,23
232,07;1,90;C;8,86
221,67;2,77;C;9,82
231,67;2,89;C;10,07
250,44;2,34;C;10,46
231,77;1,70;C;8,97
219,89;2,66;C;9,58
247,66;1,16;C;7,76
307,65;1,72;C;7,87
239,35;2,29;C;10,17
287,66;2,17;C;10,25
258,56;2,10;C;10,01
231,73;2,40;C;9,34
258,54;2,71;C;9,76
299,73;0,67;C;7,31
245,92;1,63;C;11,83
297,93;2,68;C;10,31
279,35;2,80;C;10,02
273,70;0,92;C;10,90
215,20;2,94;C;9,83
225,87;2,95;C;9,77
255,92;1,91;C;10,43
209,02;2,38;C;9,25
278,99;2,53;C;8,60
280,27;1,02;C;12,42
247,02;1,33;C;7,79
191,84;0,96;C;4,54
334,07;2,59;C;10,18
260,60;2,41;C;10,53
263,76;1,01;C;14,88
281,38;2,78;C;10,62
280,78;2,36;C;11,37
202,75;0,54;C;14,16
240,45;2,21;C;10,28
299,90;2,19;C;11,17
268,76;2,51;C;9,07
260,24;2,56;C;9,47
288,28;2,50;C;10,66
193,35;2,68;C;10,52
285,60;2,03;C;7,03
287,47;0,53;C;6,40
272,03;0,73;C;6,47
219,54;1,40;C;17,36
285,98;2,83;C;10,46
225,04;2,64;C;10,15
257,16;2,25;C;10,46
315,84;2,48;C;10,32
305,30;2,22;C;10,09
244,03;2,65;C;10,73
202,83;2,73;C;9,29
263,40;2,33;C;9,81
277,68;1,24;C;7,67
239,94;2,74;C;9,05
285,27;2,05;C;11,54
256,78;0,78;C;7,75
236,43;2,51;C;10,98
312,04;1,12;C;8,44
246,62;2,22;C;11,75
276,95;2,68;C;9,96
276,25;2,72;C;10,15
294,06;1,59;C;11,42
232,60;1,62;C;11,59
249,83;2,55;C;9,35
216,53;1,23;C;10,30
276,36;2,32;C;11,33
277,70;1,17;C;17,19
256,73;0,41;C;7,22
234,72;2,85;C;9,54
237,41;1,11;C;10,66
253,30;1,06;C;7,18
310,55;2,44;C;9,52
206,05;2,98;C;9,60
294,23;2,81;C;10,75
247,21;2,19;C;10,23
279,89;2,77;C;10,07
213,56;1,55;C;7,18
306,33;2,77;C;10,25
194,45;2,51;C;8,32
269,54;1,04;C;8,76
290,31;2,53;C;9,73
229,40;1,67;C;8,40
232,61;1,86;C;8,40
261,99;1,91;C;11,37
318,63;1,35;C;11,40
277,04;2,86;C;10,30
256,95;1,69;C;9,92
316,31;2,64;C;10,02
261,71;1,50;C;10,95
214,05;2,34;C;9,12
202,82;2,85;C;9,52
267,17;1,85;C;9,74
305,55;2,64;C;10,28
259,45;2,51;C;9,43
238,10;0,44;C;7,06
264,03;2,94;C;10,09
289,15;2,47;C;9,17
259,14;2,73;C;10,23
240,92;2,56;C;10,22
253,71;2,50;C;8,05
269,64;2,05;C;10,37
267,01;2,07;C;10,81
268,30;2,43;C;10,51
261,12;2,31;C;9,95
235,17;2,88;C;9,93
216,22;2,81;C;9,70
248,85;2,68;C;9,35
262,31;2,44;C;9,96
231,39;1,83;C;10,31
325,48;2,18;C;9,44
229,34;0,94;C;13,01
253,00;2,43;C;10,04
257,59;1,65;C;9,85
198,47;0,92;C;14,44
262,62;2,49;C;8,68
220,12;2,46;C;9,15
280,63;1,92;C;10,75
297,91;2,15;C;10,08
226,10;0,63;C;12,18
242,20;2,06;C;9,41
269,85;2,30;C;11,47
239,75;2,46;C;10,20
259,31;2,90;C;10,04
283,62;2,70;C;9,63
302,44;2,13;C;8,82
207,69;2,23;C;10,50
259,67;2,91;C;9,99
311,08;0,38;C;6,13

